ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
5994722,F,N,Y,0,405000,Commercial associate,Higher education,Single / not married,House / apartment,-13292,-3569,1,1,1,0,Core staff,1
5542056,F,Y,Y,1,157500,Working,Secondary / secondary special,Married,House / apartment,-9939,-1275,1,0,0,0,NA,3
5804787,F,Y,Y,0,225000,Pensioner,Secondary / secondary special,Civil marriage,House / apartment,-21069,365243,1,0,0,0,NA,2
6059876,F,Y,N,1,180000,Working,Higher education,Married,House / apartment,-16411,-6311,1,0,0,0,Managers,3
5322444,F,N,N,0,202500,Working,Secondary / secondary special,Married,House / apartment,-20000,-5460,1,1,1,0,NA,2
5509726,F,N,Y,0,292500,Working,Higher education,Separated,House / apartment,-13901,-120,1,0,0,0,Managers,1
5832509,F,Y,Y,2,225000,Working,Secondary / secondary special,Married,House / apartment,-13599,-2758,1,0,0,0,Accountants,4
6241178,F,N,Y,0,72000,Working,Secondary / secondary special,Civil marriage,House / apartment,-17313,-3253,1,0,0,0,Sales staff,2
5681851,F,N,Y,0,157500,Pensioner,Secondary / secondary special,Separated,House / apartment,-20469,365243,1,0,1,0,NA,1
5836711,M,Y,N,2,315000,State servant,Higher education,Married,House / apartment,-11649,-1517,1,1,1,0,Managers,4
5876427,F,N,Y,0,121500,Working,Secondary / secondary special,Single / not married,House / apartment,-17769,-2367,1,0,0,0,Sales staff,1
6682177,M,Y,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-11926,-1151,1,1,0,0,Drivers,2
5193852,M,N,Y,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-22433,365243,1,0,0,0,NA,2
5576569,F,N,Y,0,202500,Commercial associate,Higher education,Separated,House / apartment,-20931,-633,1,0,1,0,High skill tech staff,1
6033075,F,N,N,0,135000,Pensioner,Secondary / secondary special,Separated,House / apartment,-21123,365243,1,0,0,0,NA,1
6112169,F,N,Y,0,135000,Pensioner,Secondary / secondary special,Married,House / apartment,-21560,365243,1,0,1,0,NA,2
5996244,F,N,Y,0,225000,Working,Secondary / secondary special,Civil marriage,House / apartment,-19668,-3107,1,0,0,0,Security staff,2
5549439,F,Y,Y,2,315000,State servant,Higher education,Married,House / apartment,-11088,-4362,1,1,0,0,Accountants,4
5949549,M,Y,Y,0,180000,Commercial associate,Higher education,Married,House / apartment,-19057,-2755,1,0,0,0,Laborers,2
5700453,M,Y,Y,0,270000,Working,Higher education,Single / not married,House / apartment,-20175,-2051,1,0,0,0,Managers,1
6070897,M,Y,Y,0,175500,Commercial associate,Secondary / secondary special,Married,House / apartment,-14184,-1053,1,0,0,0,Drivers,2
5709423,F,N,N,2,67500,Working,Secondary / secondary special,Single / not married,House / apartment,-14634,-1691,1,1,0,0,Cleaning staff,3
6074963,F,N,Y,0,205200,Pensioner,Secondary / secondary special,Married,House / apartment,-23587,365243,1,0,0,0,NA,2
6132561,F,N,Y,3,135000,Pensioner,Secondary / secondary special,Widow,House / apartment,-10991,365243,1,0,0,0,NA,4
5631837,F,Y,Y,0,45000,Working,Secondary / secondary special,Married,House / apartment,-19751,-1884,1,1,1,0,NA,2
6070920,F,Y,Y,0,144000,Working,Secondary / secondary special,Married,House / apartment,-18437,-3399,1,1,0,0,Private service staff,2
6447501,F,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,-19477,-4016,1,0,0,0,Cooking staff,1
6148089,M,N,N,0,157500,Working,Secondary / secondary special,Single / not married,Municipal apartment,-14798,-399,1,0,0,0,High skill tech staff,1
5924274,F,Y,Y,0,220500,Working,Secondary / secondary special,Married,House / apartment,-20066,-1037,1,0,0,0,Cooking staff,2
6082336,F,Y,Y,0,180000,Commercial associate,Secondary / secondary special,Married,House / apartment,-14777,-209,1,1,1,1,Managers,2
5568648,F,N,Y,4,180000,Working,Secondary / secondary special,Married,With parents,-13939,-1559,1,1,0,0,Cooking staff,6
